,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,Localidades
419737,5.0,4.0,2.0,90.0,83.0,95000.0,0,47
419741,5.0,4.0,1.0,102.0,70.0,130000.0,0,27
419756,6.0,4.0,2.0,190.0,145.0,155000.0,3,33
419782,6.0,5.0,2.0,202.0,170.0,380000.0,1,18
419832,6.0,4.0,3.0,166.0,152.0,390000.0,0,35
419879,7.0,6.0,3.0,116.0,110.0,369000.0,0,35
419989,2.0,1.0,1.0,64.0,59.0,205000.0,0,24
419990,2.0,1.0,1.0,60.0,60.0,69800.0,0,2
419991,2.0,1.0,1.0,58.0,51.0,130000.0,0,26
419992,1.0,1.0,1.0,33.0,28.0,89600.0,0,26
419993,2.0,1.0,1.0,64.0,45.0,208000.0,0,26
419994,2.0,1.0,1.0,52.0,42.0,124800.0,0,26
419995,2.0,1.0,1.0,180.0,60.0,380000.0,0,6
419999,2.0,1.0,1.0,53.0,44.0,87000.0,0,40
420000,2.0,1.0,1.0,45.0,42.0,108000.0,0,40
420001,2.0,1.0,1.0,47.0,41.0,141000.0,0,14
420002,2.0,1.0,1.0,41.0,41.0,89000.0,0,5
420003,2.0,1.0,1.0,36.0,34.0,87000.0,0,55
420005,2.0,1.0,1.0,59.0,50.0,136000.0,0,55
420006,2.0,1.0,1.0,59.0,50.0,132000.0,0,55
420007,2.0,1.0,1.0,52.0,45.0,105000.0,0,55
420008,2.0,1.0,1.0,59.0,50.0,130000.0,0,55
420010,2.0,1.0,1.0,53.0,40.0,82600.0,0,55
420011,2.0,1.0,1.0,59.0,50.0,134000.0,0,55
420012,2.0,1.0,1.0,40.0,38.0,62800.0,0,55
420013,2.0,1.0,1.0,59.0,50.0,138000.0,0,55
420015,3.0,2.0,1.0,191.0,152.0,268000.0,1,30
420017,5.0,2.0,2.0,144.0,122.0,470000.0,0,26
420019,3.0,2.0,1.0,80.0,54.0,197800.0,0,26
420020,3.0,2.0,1.0,56.0,56.0,85000.0,0,33
420022,3.0,2.0,2.0,80.0,80.0,219000.0,0,35
420025,3.0,2.0,1.0,75.0,53.0,78000.0,0,39
